severity,category,tier,entity_type,entity_slug,entity_id,field,detail
WARNING,native-script-missing,tier1,master,ananda,TvV4QKu4ZhHtn8WkdDL7W,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
WARNING,native-script-missing,tier1,master,aryadeva,MaT_2LUWapSpvCzLlN9of,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
WARNING,native-script-missing,tier1,master,ashvaghosha,XRkgYKrS2PmeZWWOPzRLj,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
WARNING,native-script-missing,tier1,master,buddhamitra,CKps4fDp0URGrbOjjfwBX,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
WARNING,native-script-missing,tier1,master,buddhanandi,DWofxdcfC79blHHMxK4GS,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
WARNING,native-script-missing,tier1,master,dhritaka,KWt8nDNBawWXfHKVaUhqa,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
WARNING,native-script-missing,tier1,master,gayashata,ASq3jRh32oG76SQh-MPlQ,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
WARNING,native-script-missing,tier1,master,haklena,-nClvaByR9P4FRYQMX4_L,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
WARNING,native-script-missing,tier1,master,jayata,YOKNETNusc7MvXG9H87_4,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
WARNING,native-script-missing,tier1,master,kapimala,_1Cl22lVVw0x5tya5L6fJ,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
WARNING,native-script-missing,tier1,master,kumarata,uYAX94w0QwewUKFQwpJ7a,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
WARNING,native-script-missing,tier1,master,mahakashyapa,2D6CTxIOohm4bqR0bQj2U,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
WARNING,native-script-missing,tier1,master,manorhita,aGsBwP6-XaMHAML0lESfh,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
WARNING,native-script-missing,tier1,master,michaka,QL__3DUEKp2S2_iQgrq48,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
WARNING,native-script-missing,tier1,master,nagarjuna,my3n-C46G_URdJrNzWjCo,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
WARNING,native-script-missing,tier1,master,parshva,sWs0_DcgLTAzOP5pMMOTZ,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
WARNING,native-script-missing,tier1,master,prajnatara,f-5SSXM6Hb3L0T0a5f5sF,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
WARNING,native-script-missing,tier1,master,punyamitra,0_an1VP-SgfI-rwnL591D,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
WARNING,native-script-missing,tier1,master,punyayashas,RCt4jHgjnctkJQ-nUgGqm,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
WARNING,native-script-missing,tier1,master,rahulata,dowc9tfw9nrI_KIBHaEaW,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
WARNING,native-script-missing,tier1,master,sanghanandi,pjmSshTkUyqFmd9mDotbM,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
WARNING,native-script-missing,tier1,master,shakyamuni-buddha,oDgWuQLQG__HcsFgsuCnm,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
WARNING,native-script-missing,tier1,master,shanakavasa,nVY1H3EIFPh_YpaA6eFQc,names:devanagari,School=indian-patriarchs expects a name in [devanagari] but no name contains characters in those ranges.
