slug,name,school,birth_year,death_year,era,coverage,storage_path,source,license,citation_source,notes
alfred-jitsudo-ancheta,Alfred Jitsudo Ancheta,white-plum-asanga,,,unknown,placeholder,/masters/alfred-jitsudo-ancheta.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
ananda,Ananda,indian-patriarchs,-450,,ancient,portrait,/masters/ananda.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
anne-seisen-saunders,Anne Seisen Saunders,white-plum-asanga,,,unknown,placeholder,/masters/anne-seisen-saunders.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
aryadeva,Aryadeva,indian-patriarchs,170,270,ancient,portrait,/masters/aryadeva.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
ashvaghosha,Ashvaghosha,indian-patriarchs,80,150,ancient,portrait,/masters/ashvaghosha.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
baian-hakujun-kuroda,Baian Hakujun Kuroda,soto,1898,1978,modern,portrait,/masters/baian-hakujun-kuroda.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
baiyun-shouduan,Baiyun Shouduan,yangqi-line,,,unknown,placeholder,/masters/baiyun-shouduan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
baizan-monpon,Baizan Monpon,soto,,,unknown,placeholder,/masters/baizan-monpon.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
baizhang-huaihai,Baizhang Huaihai,nanyue-line,,,unknown,portrait,/masters/baizhang-huaihai.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
baizhang-niepan,Baizhang Niepan,linji,,,unknown,placeholder,/masters/baizhang-niepan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
bajiao-huiqing,Bajiao Huiqing,caodong,,,unknown,placeholder,/masters/bajiao-huiqing.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
baling-haojian,Baling Haojian,yunmen,,,unknown,placeholder,/masters/baling-haojian.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
bankei-yotaku,Bankei Yotaku,rinzai,1622,1693,early-modern,portrait,/masters/bankei-yotaku.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
banryo-zenso,Banryo Zenso,rinzai,1849,1918,modern,placeholder,/masters/banryo-zenso.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
baoci-xingyan,Baoci Xingyan,qingyuan-line,,,unknown,placeholder,/masters/baoci-xingyan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
baoen-xuanze,Baoen Xuanze,nanyue-line,,,unknown,placeholder,/masters/baoen-xuanze.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
baofeng-weizhao,Baofeng Weizhao,guiyang,,,unknown,placeholder,/masters/baofeng-weizhao.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
baofu-congzhan,Baofu Congzhan,qingyuan-line,,928,classical,placeholder,/masters/baofu-congzhan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
baoning-renyong,Baoning Renyong,linji,,,unknown,placeholder,/masters/baoning-renyong.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
